Snow-on-the-mountain Euphorbia seeds	€1.64	Buzzy Seeds	Buzzy Seeds	Annual	February - June	May - July	80cm	Light green	15 seeds
Ponytails - Mexican feathergrass seeds	€2.99	Buzzy Thema Series	Buzzy - Ornamental Grasses	Perennial	March - June	July - October	40-60cm	White	0,10 grams
Fringed Ornamental Kale Brassica oleracea seeds	€1.89	Horti Tops	Horti Tops	Annual	April - July	August - October	30cm	None	0,25 grams
Mini Roze Lisianthus Eustoma seeds	€4.19	Buzzy Seeds	Buzzy Seeds	Annual	March - June	May - August	60cm	Pink	25 seeds
Wizard Mix - Coleus seeds	€4.19	Van Hemert & Co zaden	van Hemert & Co	Annual	February - May	July - September	35cm	Green, Mixed	None
Lime Green Flowering Tabacco - Nicotiana seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	June - October	50cm	Green	None
Angels Trumpet seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	February - April	July - September	40cm	White	0,50 grams
Profusion Fleabane Erigeron seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	June - October	25cm	Pink	None
Dandy Dahlia seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - September	50cm	Mixed	None
Excellent Mix - Clarkia seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	April - June	July - September	50cm	Mixed	None
Alba Coneflower Echinacea seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Perennial	March - June	July - September	80cm	White	None
Phacelia tanacetifolia - Bee Food seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	March - July	June - September	40cm	Blue	None
Four o'clock flower Mirabilis seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	July - October	80cm	None	None
Kiwi Blue Honeywort - Cerinthe seeds	€3.19	Van Hemert & Co zaden	van Hemert & Co	Annual	April - June	July - September	70cm	Purple	None
Honesty - Lunaria seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Biennial	May - July	May - July	80cm	Purple	None
Virginia Stock - Malcolmia seeds	€1.99	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - October	25cm	Pink	None
Queen of Africa Bullwort Ammi majus seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Annual	April - June	July - September	100cm	White	None
Capitata Queen Anne's Thimbles Gilia seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	March - September	July - September	50cm	Blue	None
Milas Agrostemma Corn Cockle seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	April - September	June - September	75cm	Pink	None
Cherry Caramel Phlox seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - April	July - September	45cm	Apricot, Caramel	None
Blue Perfection - Scabiosa seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Perennial	March - August	June - September	65cm	Blue	None
Arcado Pink Agastache seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - October	45cm	Pink	None
Malva Mallow seeds	€2.29	Horti Tops	Horti Tops	Perennial	April - July	June - September	80cm	Purple	1,0 grams
Rock rose Helianthemum seeds	€1.89	Horti Tops	Horti Tops	Perennial	May - July	May - August	15cm	Mixed	0,25 grams
Pampas Plume Woolflower Celosia seeds	€1.49	Horti Tops	Horti Tops	Annual	January - May	May - August	70cm	Mixed	0,50 grams
Purple Bell Vine Rhodochiton seeds	€4.39	Buzzy Thema Series	Buzzy - Climbing Flowers	Annual	January - March	June - September	250cm	Purple	10 seeds
Soft Blue Wisteria seeds	€4.39	Buzzy Thema Series	Buzzy - Climbing Flowers	Perennial	February - November	April - June	400cm	Blue	± 5 zaden
Sensitive Plant - Mimosa seeds	€1.89	Horti Tops	Horti Tops	Perennial	January - December	January - December	40cm	None	0,75 grams
Magic Beauty F1 Pelargonium Geranium seeds	€4.99	Horti Tops	Horti Tops	Annual	January - April	June - October	35cm	Mixed	10 seeds
Yellow Black-Eyed-Susan seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	January - December	June - October	50cm	Yellow	0,50 grams
Passion Flower seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	January - December	April - October	300cm	Blue	0,30 grams
Cacti mix - Cactus seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	January - December	January - December	15-45cm	Mixed	0,20 grams
Pink Saponaria Soapwort seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	May - July	30cm	Pink	0,50 grams
Pasque Flower Pulsatilla seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	March - May	20cm	Purple	0,10 grams
Chinese Lantern - Physalis seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	June - September	80cm	Orange	0,25 grams
Maltese Cross - Burning Love seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	June - July	90cm	Red	0,25 grams
Yellow Red - Gaillardia seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	June - September	60cm	Red	0,75 grams
Blue Globe Thistle - Echinops seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	May - June	July - September	100cm	Blue	0,50 grams
Brilliant Dianthus - Maiden Pink seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	June - September	20cm	Pink	0,25 grams
Silver Princess Shasta Daisy Leucanthemum seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	May - October	40cm	White	0,50 grams
Grandiflora Aubrieta seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	April - June	15cm	Purple	0,15 grams
Mrs Scott Elliot - Columbines seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	May - June	80cm	Mixed	0,50 grams
Trimardeau Mixed Pansy seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Biennial	February - August	January - December	25cm	Mixed	0,40 grams
Blue Ball - Forget-me-not seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Biennial	July - August	May - August	40cm	Blue	0,50 grams
Mixed colors Foxglove seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Biennial	July - August	May - September	140cm	Pink	0,50 grams
Fair Lady Mix - Wall flower seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Biennial	May - July	April - July	45cm	Mixed	0,75 grams
Double flowered Canterbury Bell seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Biennial	May - July	March - July	65cm	Purple	0,50 grams
Mixture Wild flowers seeds	€3.59	Buzzy Seeds	Buzzy Seeds	Annual	March - June	May - September	20-80cm	Mixed	5,0 grams
Butterfly Flowers Seed Mixture	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	April - May	June - September	20-80cm	Mixed	2,0 grams
Annual rock garden flowers seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	May - October		Mixed	1,0 grams
Mixed Climbing flower seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	April - May	June - August	50-300cm	Mixed	4,0 grams
Japanese flower carpet seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	April - May	June - August	15-45cm	Mixed	1,5 grams
Cutflower seeds mixture	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	April - May	June - August	60-80cm	Mixed	1,5 grams
Mixed Summer flowers seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	April - May	June - August	20-80cm	Mixed	1,5 grams
Dahlia Flowered Zinnia seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	April - June	July - November	75cm	Mixed	1,5 grams
Little Jewels Ornamental Corn seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	April - May	July - September	150cm	None	7,0 grams
Dwarf Vervain - Verbena seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	February - May	June - October	25cm	Mixed	0,40 grams
Climbing Nasturtium seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	300cm	Mixed	3,0 grams
Hawaii African Marigold Tagetes seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	70cm	Orange	1,0 grams
Pacific Statice - Sea lavender seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	80cm	Mixed	0,25 grams
Angel Wings - Poor Man's Orchid seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - September	40cm	Pink	0,50 grams
Zanzibarensis Castor Oil Plant Ricinus seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	February - May	July - November	250cm	Green	5,0 grams
Double flower Garden Portulaca seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	15cm	Mixed	0,30 grams
Mixed dwarf Petunia seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	February - May	June - October	45cm	Mixed	0,20 grams
Shirley Papaver rhoeas seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - September	75cm	Mixed	0,50 grams
Persian Jewels - Love in the Mist seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	45cm	Mixed	1,5 grams
Blue Heaven Baby-Blue-Eyes Nemophila seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	20cm	Blue	1,0 grams
Bells of Ireland Molucella seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - October	75cm	Green	0,75 grams
Mixture Livingstone Daisy - Dorotheanthus seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	15cm	Mixed	0,50 grams
Pixie Delight - Lupine seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	40cm	Mixed	2,0 grams
String op Pearles Lobelia seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	February - May	June - October	15cm	Mixed	0,20 grams
Red Scarlett Flax - Linum seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - September	40cm	Red	1,5 grams
Pink-Red Royal Mallow seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	120cm	Pink	1,5 grams
Bijou Dwarf Sweet peas Lathyrus seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	March - May	May - October	50cm	Mixed	5,0 grams
Mixed Morning Glory Ipomoea seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - October	300cm	Pink	2,0 grams
Baby sultanii Busy Lizzie Impatiens seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	February - May	May - October	30cm	Mixed	0,10 grams
Evening Sun Sunflower Helianthus seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - June	July - October	180cm	Brown, Red	2,0 grams
Covent Garden Baby's breath Gypsophila seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	50cm	White	1,5 grams
Sunshine Gazania seeds	€2.99	Buzzy Seeds	Buzzy Seeds	Annual	February - May	July - October	30cm	Mixed	0,25 grams
Wee Willie - Sweet William seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	May - July	20cm	Mixed	0,50 grams
Dwarf Hyacinth Consolida ajacis - Larkspur seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	40cm	Mixed	1,0 grams
Sonate Cosmos seeds	€4.19	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	50cm	Pink	0,60 grams
Cup and Saucer Vine - Cobaea scandens seeds	€3.59	Buzzy Seeds	Buzzy Seeds	Annual	February - May	July - October	350cm	Blue	1,0 grams
Pink Queen Cleome - Spider Flower seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - October	100cm	Pink	0,75 grams
Painted Daisy Chrysanthemum seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	60cm	Mixed	1,0 grams
Mixed Centaurea Cornflower seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - August	90cm	Mixed	1,5 grams
Balls Orange Marigold Calendula seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	60cm	Orange	1,5 grams
Semi-tall mixed Antirrhinum Snapdragon seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	50cm	Mixed	0,50 grams
Love Lies Bleeding Amaranthus seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	100cm	Red	1,0 grams
Snowcloth Sweet Alyssum seeds	€1.69	Buzzy Seeds	None	None	None	None	None	None	None
Summer Carnival - Double Hollyhock seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	140cm	Mixed	0,50 grams
Blue Mink - Ageratum seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	May - October	30cm	Blue	0,30 grams
Violet Scandens Asarina - Creeping Gloxinia seeds - 2026	€2.33	Buzzy Thema Series	Buzzy - Climbing Flowers	Annual	March - May	June - November	300cm	Purple	± 10 seeds
Red Phaesants Eye - Adonis seeds - 2026	€1.10	Buzzy Seeds	Buzzy Seeds	Annual	March - May	May - August	30cm	Red	2,0 grams
Mixed Garden begonia seeds	€3.99	Horti Tops	Horti Tops	Annual	December - March	June - September	35cm	Mixed	0,05 gram
Globe Thistle Echinops ritro seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Perennial	March - July	July - September	80cm	Blue	None
Strelitzia Bird of Paradise Flower seeds	€4.29	Sperli	Sperli	Perennial	January - December	May - August	150cm	Orange	± 5 zaden
Bambina Rose Summer Aster - Callisthephus seeds	€3.99	Horti Tops	Horti Tops	Annual	March - May	July - October	30cm	Pink	± 20 seeds
Native flowers Great Mullein seeds	€1.99	Buzzy Thema Series	Buzzy - Native Flowers	Biennial	April - October	June - September	100-200cm	White	0,10 grams
Native flowers Reseda seeds	€2.29	Buzzy Thema Series	Buzzy - Native Flowers	Biennial	April - June	June - August	30cm	White	0,10 grams
Native flowers Viper’s Bugloss seeds	€2.99	Buzzy Thema Series	Buzzy - Native Flowers	Biennial	April - October	June - October	60-100cm	Blue	0,25 grams
Native flowers Wild Carrot flowers seeds	€2.29	Buzzy Thema Series	Buzzy - Native Flowers	Biennial	April - October	June - October	60-100cm	White	0,10 grams
Native flowers Yellow Chamomile seeds	€1.99	Buzzy Thema Series	Buzzy - Native Flowers	Biennial	March - October	June - September	30-60cm	Yellow	0,10 grams
Monkshood Aconitum seeds	€2.79	Horti Tops	Horti Tops	Perennial	October - October	July - September	120cm	Blue	0,25 grams
Snowball Rock Cress Arabis seeds	€1.89	Horti Tops	Horti Tops	Perennial	May - July	April - May	20cm	White	0,25 grams
Cloth of Gold Achillea seeds	€2.29	Horti Tops	Horti Tops	Perennial	May - July	June - July	90cm	Yellow	0,25 grams
Fairy Bouquet Toad Flax Linaria seeds	€1.89	Horti Tops	Horti Tops	Annual	April - May	June - September	30cm	Mixed	0,50 grams
Globe Amaranth Gomphrena seeds	€1.89	Horti Tops	Horti Tops	Annual	March - May	July - August	35cm	Mixed	0,25 grams
Sweet Rocket Violet Hesperis seeds	€1.49	Horti Tops	Horti Tops	Biennial	May - July	May - September	80cm	Purple	1,0 grams
Sky Blue Lisianthus Eustoma seeds	€5.19	Buzzy Seeds	Buzzy Seeds	Annual	March - June	May - August	60cm	Lilac	20 seeds
Fortune Dark Blue Sea lavender Limonium seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Annual	March - May	July - September	80cm	Blue	0,20 grams
Brunette Greenthread Cosmidium seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	March - May	June - October	60cm	Brown, Yellow	0,50 grams
Lemon mint Monarda seeds	€1.99	Buzzy Seeds	Buzzy Seeds	Annual	April - June	June - September	50-75cm	Lilac	0,15 grams
Pink Beauty Cowcockle Organic seeds	€2.29	Buzzy Organic Seeds	Buzzy - Organic	Annual	March - May	May - September	60cm	Pink	0,50 grams
Corncockle Milas Agrostemma Organic seeds	€2.29	Buzzy Organic Seeds	Buzzy - Organic	Annual	March - May	June - July	80cm	Pink	1,0 grams
Bronco Carex seeds	€6.39	Buzzy Thema Series	Buzzy - Ornamental Grasses	Perennial	March - June	July - October	40-50cm	Brown	10 seeds
Wild Teasel organic seeds	€2.99	De Bolster	De Bolster	Perennial	May - July	June - September	140-160cm	Lilac	1,0 grams
The Giant Toothpick Flowers seeds Organic	€2.29	Buzzy Organic Seeds	Buzzy - Organic	None	April - June	August - October	80cm	White	0,10 grams
Sensitive plant Mimosa pudica seeds	€1.99	Buzzy Thema Series	Buzzy - House Plants	Perennial	January - December	None	40cm	Green	0,20 grams
Rainbow mix Coleus seeds	€2.29	Buzzy Thema Series	Buzzy - House Plants	Perennial	January - December	None	35cm	Green, Red	0,25 grams
Long-leaved Speedwell Veronica seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Perennial	March - August	June - August	60-80cm	Blue	None
Vulcan Malope seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - September	100cm	Pink, Red	None
Baby Busy Lizzie Sultanas Impatiens seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	February - June	July - October	25cm	Mixed, Pink	None
Royal Castle - Kniphofia seeds	€2.29	Buzzy Seeds	Buzzy Seeds	Perennial	May - July	June - October	80cm	Orange	0,75 grams
Rose of Heaven Patio - Viscaria seeds	€1.89	Horti Tops	Horti Tops	Annual	February - July	July - September	25cm	Pink, Purple	0,05 gram
Night Scented Stock - Malcolmia seeds	€1.89	Horti Tops	Horti Tops	Annual	March - June	June - September	45cm	Pink	0,15 grams
Carnaval Nemesia seeds	€1.89	Horti Tops	Horti Tops	Annual	March - May	May - October	20cm	Mixed	0,125 gram
Carmine rose Dianthus - Maiden Pink seeds	€1.89	Horti Tops	Horti Tops	Perennial	May - July	April - August	20cm	Pink	0,25 grams
Cut flowers seeds - Mixture blue seeds	€3.19	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	June - October	70cm	Blue	None
Velvet Curtains Amaranthus seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	None	March - May	June - October	150cm	Purple	None
Meadow Flowermix 15m2	€6.99	Buzzy Seeds	Buzzy - Friendly Flowers	Annual
Perennial	March - June	May - August	40-100cm	Mixed	25 grams
Lady Bugs Flowermix 15m2	€6.99	Buzzy Seeds	Buzzy - Friendly Flowers	Annual
Perennial	March - June	May - August	50 - 90cm	Mixed	25 grams
Musk Pink - Musk Mallow seeds	€1.69	Buzzy Seeds	Buzzy Seeds	Perennial	May - August	June - October	60cm	Pink	0,50 grams
Sparkle White - Gaura seeds	€2.99	Buzzy Seeds	Buzzy Seeds	Perennial	January - May	June - October	80cm	White	15 seeds
Early Sunrise - Coreopsis seeds	€3.59	Buzzy Seeds	Buzzy Seeds	Perennial	April - May	June - August	40cm	Yellow	25 seeds
New Dimension Blue Meadow Sage Salvia nemorosa seeds	€4.19	Buzzy Seeds	Buzzy Seeds	Perennial	March - May	June - August	30cm	Blue	25 seeds
Tiger F1 Gazania seeds	€3.59	Buzzy Seeds	Buzzy Seeds	Annual	February - May	July - October	25cm	Mixed	15 seeds
Blue Aquilegia - Columbine seeds	€3.19	Van Hemert & Co zaden	van Hemert & Co	Perennial	January - December	May - July	60cm	Blue	None
Sugar Stars Phlox seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - April	July - September	40cm	Blue	None
White Flowering Tobacco - Nicotiana seeds	€3.19	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - September	160cm	White	None
Sunny Reggae - Dahlia seeds	€4.99	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - October	50cm	Orange	None
Astello Indigo Agastache seeds	€4.59	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	July - October	45cm	Blue	None
Mixed Climbing Flowers seeds	€1.89	Horti Tops	Horti Tops	Annual	April - May	June - October	50-300cm	Mixed	4,0 grams
Queens Prize Monkey-flower seeds	€1.89	Horti Tops	Horti Tops	Annual	February - May	June - October	35cm	Yellow	± 15 seeds
Coneflower Echinacea purpurea seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Perennial	March - June	July - September	80cm	Pink	None
Blue Wonder Phacelia seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Annual	March - June	June - September	25cm	Blue	None
Baby Blue Eyes Nemophila seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	March - September	May - September	10cm	Blue	None
Bright Eyes Linum - Flax seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	April - June	June - September	40cm	Red	None
Covent Garden Baby's breath Gypsophila seeds	€1.79	Van Hemert & Co zaden	van Hemert & Co	Annual	March - August	June - October	60cm	White	None
Sunshine Livingstone Daisy - Dorotheanthus seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Annual	February - May	July - September	15cm	Mixed	None
Cacti Cactus seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Perennial	April - October	March - September	15cm	Mixed	None
Blue Mink - Ageratum seeds	€1.99	Van Hemert & Co zaden	van Hemert & Co	Annual	February - May	July - October	20cm	Blue	None
Longiflora Four o'clock flower Mirabilis seeds	€2.65	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	July - October	80cm	White	None
Verbena Polaris Rigida - Vervains seeds	€3.49	Van Hemert & Co zaden	van Hemert & Co	Annual	February - May	July - October	35cm	Purple	None
Violet Queen Cleome - Spider Flower seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	July - September	100cm	Purple	None
Felicitas Birds Eyes Gilia seeds	€2.49	Van Hemert & Co zaden	van Hemert & Co	Annual	March - September	July - September	40cm	White	None
Bella Vista Portulaca seeds	€2.29	Van Hemert & Co zaden	van Hemert & Co	Annual	March - May	June - September	20cm	Mixed	None
Fair lady - Wall flower seeds	€1.49	Horti Tops	Horti Tops	Biennial	June - July	April - March	45cm	Mixed	0,75 grams
Alba - Cobaea scandens seeds	€2.99	Buzzy Thema Series	Buzzy - Climbing Flowers	Annual	February - May	July - September	350cm	White	2,0 grams
Mixed Colours Black-Eyed-Susan seeds	€1.99	Buzzy Thema Series	Buzzy - Climbing Flowers	Annual	January - December	May - September	50cm	None	0,50 grams
