id,"serialové číslo zařízení","název zařízení","čas pořízení","okolní energie","maximální energie","minimální energie"
51,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 13:46:18",40.37,54.21,34.25
131,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 13:49:18",38.92,52.22,34.1
210,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 13:52:18",38.83,53.09,34.14
289,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 13:55:18",37.9,52.82,34.11
366,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 13:58:18",38.11,52.2,34.85
446,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:01:18",38.48,52.1,34.2
525,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:04:18",38.2,56.87,34.04
603,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:07:18",38.91,51.71,34.65
658,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:10:18",39.58,55.5,34.33
736,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:13:18",38.76,49.47,34.97
815,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:16:18",39.94,51.71,35.21
893,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:19:18",41.58,53.75,35.68
970,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:22:18",39.13,48.1,35.87
1045,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:25:18",38.86,52.33,34.03
1124,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:28:18",40.44,53.82,35.41
1201,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:31:18",37.25,46.55,34.42
1282,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:34:18",37.3,45.82,34.47
1359,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:37:18",39.62,52.71,34.68
1439,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:40:18",38.46,54.4,34.76
1515,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:43:18",39.67,56.36,34.75
1594,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:46:18",41.2,51.42,36.54
1675,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:49:18",39.16,54.44,34.46
1750,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:52:18",39.62,54.57,34.57
1827,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:55:18",41.33,54.86,35.54
1906,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 14:58:18",38.64,50.59,34.9
1985,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:01:18",36.57,43.97,34.17
2064,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:04:18",39.56,50.22,35.05
2139,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:07:18",38.58,49.5,34.55
2217,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:10:18",39.91,52.59,34.53
2293,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:13:18",41.31,58.15,34.94
2374,2490631311115202204,"Nerudova x Kar. Berana (VO 18700)","2025-07-07 15:16:18",36.83,46.01,34.01
